finding_id,source_id,location_id,finding_date,claim_summary,quoted_text,page_or_ref,evidence_class,confidence_level,needs_verification,notes
FND_FRANTZMAN_SCOPE_001,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman identifies the research question as how many new places of Arab and Muslim inhabitation were established between 1871 and 1948, and who settled them.",How many new places of Arab and Muslim inhabitation were established between 1871 and 1948?,"Frantzman 2010, Introduction / research questions",C,High,0,"Important methodological source for settlement formation, not direct Ottoman archival evidence."
FND_FRANTZMAN_140_60000_002,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman states that roughly 140 new villages were established and that about 60,000 inhabitants moved from former settled or nomadic life into new places.","some 140 new villages and the movement of their 60,000 inhabitants from their former settled or nomadic life to new lives in new places","Frantzman 2010, Introduction",C,Medium,1,"This is movement into new settlements, not necessarily immigration from outside Palestine. Must not be counted as external immigration without origin coding."
FND_FRANTZMAN_CONCLUSION_172_195_003,SRC_FRANTZMAN_2010,,2026-06-04,Frantzman concludes that 172-195 new Arab settlements were established and permanently inhabited in Palestine between 1871 and 1948; 146 were recognized as inhabited by Mandatory authorities in 1945.,There were 146 inhabited new Arab settlements recognized by the Mandatory authorities in 1945. This study concludes that 172-195 new Arab settlements were established and permanently inhabited between 1871 and 1948 in Palestine.,"Frantzman 2010, Conclusion",C,High,0,Major quantitative settlement-formation finding.
FND_FRANTZMAN_LOCAL_ORIGINS_004,SRC_FRANTZMAN_2010,,2026-06-04,Frantzman concludes that inhabitants of new settlements were mostly local Arabs from nearby areas; very few Arab settlers came from outside Mandatory Palestine.,The inhabitants of the new settlements were mostly local Arabs from nearby areas... Very few of the Arab settlers were from outside the borders of Mandatory Palestine.,"Frantzman 2010, Conclusion",C,High,0,"Important counterweight against high external Arab immigration claims. This applies to new rural settlements, not necessarily cities or earlier 19th century Egyptian migration."
FND_FRANTZMAN_BEDOUIN_52_005,SRC_FRANTZMAN_2010,,2026-06-04,Frantzman reports that 52 of the new settlements were settled by Bedouin; elsewhere in discussion he gives 47 as Bedouin settlements.,"A significant number, 52 of the settlements, were settled by Bedouin.","Frantzman 2010, Conclusion; Discussion gives 47 Bedouin settlements",C,Medium,1,Resolve discrepancy between 47 and 52. Likely depends on inclusion criteria for recognized/unrecognized settlements.
FND_FRANTZMAN_66940_006,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman calculates 66,940 settlers living in the new settlements, with 831,486 dunams classified administratively with newly settled villages by the Mandate.","66,940 settlers were found living in the new settlements and 831,486 dunams was classified administratively with the newly settled villages by the Mandate.","Frantzman 2010, Conclusion",C,High,0,"This is a settlement population stock figure, not an immigration-flow figure."
FND_FRANTZMAN_EGYPTIANS_007,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman, citing Grossman, identifies Egyptian migration associated with Muhammad Ali's Syrian campaign as the largest 19th-century migration that remained in Palestine.",the Egyptian population that remained in Palestine after the retreat of the army made up the largest migration that the country had known during the nineteenth century,"Frantzman 2010, Chapter 1, Muslim Immigrants and Settlers in the 19th century",C,Medium,1,Requires checking Grossman source and quantification. Likely significant for external Arab/Muslim migration before late Ottoman period.
FND_FRANTZMAN_EGYPTIAN_LOCATIONS_008,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman states Egyptians settled primarily in low-country regions including Baysan, Wadi Araba, Jezreel Valley, Shephelah, coastal plain, and Negev.","Egyptians that settled in villages in Palestine could be found primarly in the low country, including in the Baysan area, Wadi Araba, the Jezreel valley, the Shephelah, the coastal plain and the Negev.","Frantzman 2010, Chapter 1, Muslim Immigrants and Settlers in the 19th century",C,Medium,1,Potential location list for external Egyptian migration. Needs village-level extraction.
FND_FRANTZMAN_ALGERIAN_LEADS_009,SRC_FRANTZMAN_2010,,2026-06-04,"Frantzman identifies Algerian-related settlements in the late Ottoman period, including Ammuqa, Marus, and Tuleil in the Safed/Huleh region.","Table 2.9 lists Ammuqa and Marus as Algerian-origin repopulated settlements, and Tuleil as Algerians/Jewish immigration.","Frantzman 2010, Table 2.9",C,Medium,1,Needs extraction of Table 2.8 and related Algerian section for full list and population.
FND_FRANTZMAN_METHOD_BOUNDARIES_010,SRC_FRANTZMAN_2010,,2026-06-04,Frantzman notes that Ottoman and Mandatory boundaries differed and uses 1945 Village Statistics subdistricts as a systematic basis.,The boundaries of Ottoman Palestine and its administrative divisions were not the same as those of Mandatory Palestine...,"Frantzman 2010, Methodological problems",C,High,0,Supports our need to maintain Palestine Proper vs Southern Levant scope fields.
