settlement_name,origin,comment,proposed_origin_code,research_note
Imara,Bedouin,,ORIGIN_BEDOUIN_MOBILE,Possible cross-border/mobile origin; verify tribe range
Jammama,Bedouin,Arab al Atawina,ORIGIN_BEDOUIN_MOBILE,Negev/Besheba tribal mobility
Auja,Bedouins and Hamid's settlers,Abdul Hamid II,ORIGIN_BEDOUIN_MOBILE_AND_STATE,Mixed Bedouin/state-sponsored
Ajanjul,Daughter village of Beit Nuba,,ORIGIN_LOCAL_SUBDISTRICT,Local internal
Khirbat Buweiriya,Daughter village of Beit Nuba or Qatanna,Clermont-Ganneau,ORIGIN_LOCAL_SUBDISTRICT,Local internal
Deir Muheisin,Off-shoot of Khulda?,,ORIGIN_LOCAL_SUBDISTRICT,Local/internal likely
Kharruba,Off-shoot of Innaba?,Unstable village,ORIGIN_LOCAL_SUBDISTRICT,Local/internal likely
Mukhazin,Bedouin village,Arab al Wuhaydat,ORIGIN_BEDOUIN_MOBILE,Important: Wuhaydat may have broader Southern Levant history
Kh. Zakariya,Tomb,,ORIGIN_UNKNOWN,Origin unclear
Al Auja,Bedouin,,ORIGIN_BEDOUIN_MOBILE,Jericho/Jordan Valley Bedouin mobility
Kh. Ismallah,Estate house,,ORIGIN_UNKNOWN_OR_ESTATE,Possible estate-led settlement
Al Nebi Musa,Bedouin,tomb,ORIGIN_BEDOUIN_MOBILE,Bedouin pilgrimage/settlement fixation
Nueima,Bedouin,,ORIGIN_BEDOUIN_MOBILE,Jericho/Jordan Valley Bedouin mobility
Duyuk,Bedouin,,ORIGIN_BEDOUIN_MOBILE,Jericho/Jordan Valley Bedouin mobility
Jammasin al Gharbi,Bedouin,laboured for Germans in Sarona,ORIGIN_BEDOUIN_MOBILE,Labor link to German settlement; tribe old in Nablus registers
Wadi Hawarith North,Bedouin,Hawarith tribe,ORIGIN_BEDOUIN_MOBILE,Major coastal tribal settlement; ownership by Lebanese Maronite noted nearby
Kh. Hawsa,Algerians,Neby Hushan,ORIGIN_EXTERNAL_OTTOMAN,Explicit external-origin category
Kh. Lid,Unknown,,ORIGIN_UNKNOWN,Needs village-level source
Naghnaghiya,Bedouin,Naghnaghiya tribe,ORIGIN_BEDOUIN_MOBILE,Jezreel/tribal
Ein al Mansi,"Unstable village, Bedouins",,ORIGIN_BEDOUIN_MOBILE,Unstable/seasonal; settlement survival bias
